Horodateur;Année d'obtention de votre diplôme d'ambulancier;Département de formation ;Quel est le type d'activité de votre entreprise ? (Plusieurs réponses possibles);Quel est le secteur d'activité de votre entreprise ?;Combien d'ADE/CCA sont employés par votre entreprise;Combien d'auxiliaires sont employés par votre entreprise;Disposez-vous d'un jeu de tenues professionnelles identifiées :  Nom de l'entreprise ?;;De quelle couleur sont-elles ?;Avez-vous des protocoles d'hygiène dans votre entreprise ? ;;Si oui, sont-ils en adéquation avec l'enseignement réalisé à l'IFA ? ;Merci de justifier votre réponse ;Concernant le rythme de décontamination du matériel et du véhicule sanitaire,  réalisez-vous :;;Disposez-vous d'un lecteur de glycémie, appareil Dextro ?;;;;;Disposez-vous d'appareils permettant la réalisation d'électro-cardiogramme  (ECG) ? ;;;Disposez-vous de matériel pour réaliser des aspirations trachéales (dans la trachée, la canule de trachéotomie) ?;;;Vous disposez dans votre véhicule : (plusieurs réponses possibles);Lorsqu'un patient est à bord du véhicule sanitaire est-ce l'auxilaire qui conduit : ;;Lors d'une intervention, la suite de la prise en charge nécessite la pose d'une voie veineuse périphérique;;Lors d'une prise en charge d'un patient à domicile  il vous manque des informations pour la prise en charge de votre patient, hors celui-ci est porteur d'un courrier remis par son médecin traitant pour le service d'accueil .;Lors d'une admission, vous occupez-vous de l'entrée administrative de votre patient ( vous ou votre binôme ) ? ;;Dans les établissements de santé existe-t-il un guichet avec accès prioritaire ambulancier pour réaliser les démarches administratives de l'admission;;;;;;Lors d'un transfert, vous prenez en charge un patient porteur d'un pousse-seringue éléctrique;;;;
05/10/2013 09:31:40;1992;75; ASSU, Ambulance de catégorie C;Zone urbaine;15;5;Oui;Oui;bleues;Oui;Toujours;Oui;matériel identique;Oui;Tous les jours;Oui;Oui;Oui;Sur demande d'un médecin, d'un infirmier ou du SMUR;appel 15;Non;Non;Oui;Oui;Oui;Non;Matelas immobilisateur à dépression : matelas coquille, Planche à immobilisation type : Baxtrap ;Toujours;Toujours;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Non;;Jamais;;;;;;Non;;;;
05/10/2013 09:34:27;2012;67; ASSU;Zone urbaine;15;0;Oui;Oui;Bleu;Oui;Toujours;Non;Le temps imparti;Oui;Tous les jours;Non;Oui;Non;;;Non;Non;Oui;Non;Non;Non;Matelas immobilisateur à dépression : matelas coquille, Planche à immobilisation type : Baxtrap ;Jamais;Jamais;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Oui;Samu 75;;;
05/10/2013 09:50:35;2013;Isere;VSL, Ambulance de catégorie C;Zone rurale;4;3;Oui;Oui;Bleu;Oui;Toujours;Oui;;Non;Toutes les semaines ;Non;Oui;Non;;;Non;;Non;Oui;Oui;Non;Matelas immobilisateur à dépression : matelas coquille;Parfois;;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Toujours ;;;;;;Oui;Votre IFA;;;
05/10/2013 10:06:06;2013;38;VSL,  ASSU;Zone rurale et urbaine;8;10;Oui;Oui;bleu;Oui;Toujours;Oui;"Désinfection brancard entre chaque patient.
Nettoyage quotidien intérieur et extérieur des véhicules.";Oui;Tous les jours;Oui;Oui;Non;;;Non;;Non;Non;Oui;Non;Matelas immobilisateur à dépression : matelas coquille;Toujours;Toujours;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Oui;Votre IFA;;;
05/10/2013 10:40:57;2012;21;VSL,  ASSU, Ambulance de catégorie C;Zone urbaine;22;27;Oui;Oui;Blanches;Oui;Toujours;Oui;;Oui;Tous les jours;Oui;Non;Oui;De façon spontanée dans certaines situations ;Patient présentant des troubles neurologiques, patient victime d'un malaise.;Non;;Non;Oui;Non;Non;Matelas immobilisateur à dépression : matelas coquille, Planche à immobilisation type : Baxtrap ;Parfois;Toujours;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Non;;;;
05/10/2013 10:43:09;1988;31;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;14;12;Oui;Oui;BLEU;Oui;Toujours;Oui;;Oui;Tous les jours;Oui;Non;Non;;;Non;Non;Non;Oui;Oui;Non;Matelas immobilisateur à dépression : matelas coquille;Toujours;Toujours;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Non;;;;
05/10/2013 10:48:26;1998;31;VSL,  ASSU, Ambulance de catégorie C;Zone rurale;5;5;Oui;Oui;bleues;Oui;Toujours;Non;;Non;Tous les jours;Non;Non;Non;;;Non;;Non;Oui;Oui;Oui;Matelas immobilisateur à dépression : matelas coquille;Toujours;Toujours;Non;;Appel au médecin;Oui;Les deux ;Parfois;;;;;;Non;;;;
05/10/2013 10:49:53;2007;25;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;15;15;Oui;Oui;bleues;Oui;Toujours;Oui;societe certifiee qualicert;Non;Tous les jours, Toutes les semaines ;Oui;Oui;Oui;Sur demande d'un médecin, d'un infirmier ou du SMUR;;Non;Non;Non;Non;Non;Non;Matelas immobilisateur à dépression : matelas coquille;Toujours;Toujours;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Oui;Votre IFA;;;
05/10/2013 10:54:00;2013;91;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;27;9;Oui;Oui;blanche;Non;Jamais;Non;Je me fais mon protocole d hygiene pour mon vehicule attitré comme appris a ifa;Oui;Tous les jours, Toutes les semaines ;Non;Oui;Oui;Sur demande d'un médecin, d'un infirmier ou du SMUR, De façon spontanée dans certaines situations ;sur les malaises si il y a un appareil de glycemie ;Non;Non;Oui;Oui;Oui;Oui;Matelas immobilisateur à dépression : matelas coquille;Parfois;Parfois;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;En situation d'entrée programmée;Parfois;;;;;;Non;;;;
05/10/2013 11:06:20;2010;rhone; ASSU, Ambulance de catégorie C;Zone rurale et urbaine;13;5;Oui;Oui;bleu;Oui;Parfois;Oui;;Non;Toutes les semaines ;Non;Non;Non;;;Non;Non;Non;Oui;Non;Oui;Matelas immobilisateur à dépression : matelas coquille;Parfois;Parfois;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Non;;;;
05/10/2013 11:10:24;1991;45;VSL,  ASSU, Ambulance de catégorie C;Zone rurale;6;3;Oui;Oui;Blanches et bleues;Oui;Parfois;Non;;Oui;Toutes les semaines ;Oui;Non;Non;;;Non;Non;Non;Non;Non;Non;Matelas immobilisateur à dépression : matelas coquille;Toujours;Toujours;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Non;;;;
05/10/2013 11:12:27;2010;bordeaux mais exerce a limoges;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;11;6;Oui;Oui;bleu pour la journee.blanche les nuits;Oui;Toujours;Oui;;Oui;Tous les jours;Oui;Non;Oui;De façon spontanée dans certaines situations ;;Non;;Non;Oui;Oui;Non;Matelas immobilisateur à dépression : matelas coquille;Parfois;Parfois;Oui;;Vous appelez le Centre 15 pour demander l'autorisation d'ouvrir le courrier  ;Oui;Les deux ;Parfois;;;;;;Oui;;;;
05/10/2013 11:13:14;2003;69;VSL,  ASSU, Ambulance de catégorie C;Zone rurale;10;1;Oui;Oui;Bleue marine et blanche;Oui;Toujours;Non;Pas les mêmes produits...;Oui;Toutes les semaines ;Oui;Non;Oui;De façon spontanée dans certaines situations ;En cas de patients sensibles lors d'interventions C15 si la glycémie est un facteur aggravant pour la pathologie;Oui;Oui de manière autonome;Non;Non;Non;Non;Matelas immobilisateur à dépression : matelas coquille;Parfois;Parfois;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Oui;IFSI;;;
05/10/2013 11:18:33;2010;25;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;9;5;Oui;Oui;bleu;Oui;Parfois;Non;;Non;Toutes les semaines ;Non;Non;Non;;;Non;;Non;Oui;Non;Oui;Matelas immobilisateur à dépression : matelas coquille, Planche à immobilisation type : Baxtrap ;Parfois;Parfois;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Oui;les infirmières ;;;
05/10/2013 11:19:11;2006;87;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;16;5;Oui;Oui;Blanche;Oui;Toujours;Oui;;Non;Toutes les semaines ;Oui;Oui;Oui;De façon spontanée dans certaines situations ;Hypoglycémie, hyperglycémie, malaise...;Oui;Oui sous contrôle d'un médecin ou d'un infirmier;Non;Oui;Non;Non;Matelas immobilisateur à dépression : matelas coquille;Parfois;Toujours;Oui;Vous rassemblez l'ensemble du matériel nécessaire ;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Non;;;;
05/10/2013 11:19:29;2012;78;Ambulance de catégorie C;Zone urbaine;10;0;Oui;Oui;Blanches;Oui;Toujours;Non;La technique des 2 seaux n'est pas respectée.;Oui;Toutes les semaines ;Oui;Oui;Non;;;Non;Non;Non;Oui;Non;Non;Matelas immobilisateur à dépression : matelas coquille;Jamais;Jamais;Oui;Rien;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Non;;Parfois;;;;;;Non;;;;
05/10/2013 11:26:26;2009;54;VSL, Ambulance de catégorie C;Zone rurale et urbaine;7;6;Oui;Oui;bleue;Oui;Parfois;Oui;;Oui;Tous les jours;Non;Oui;Non;;;Non;;Non;Non;Non;Non;Matelas immobilisateur à dépression : matelas coquille, Planche à immobilisation type : Baxtrap ;Toujours;Toujours;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Non;;;;
05/10/2013 11:27:18;2009;33;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;23;9;Oui;Oui;bleu et blanche;Oui;Toujours;Non;Tous les véhicules sont désinfecté une fois par semaine mais très rapidement !!;Non;Toutes les semaines ;Non;Non;Non;;;Non;Non;Non;Non;Non;Non;Matelas immobilisateur à dépression : matelas coquille;Parfois;Parfois;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Non;;;;
05/10/2013 11:34:30;2012;38;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;15;10;Oui;Oui;blanc et bleu marine;Oui;Parfois;Non;manque de tps soucis de rentabilité et de serrage des heures passe avant l hygiene;Oui;Toutes les semaines ;Oui;Oui;Non;;;Non;;Non;Non;Non;Non;Matelas immobilisateur à dépression : matelas coquille;Parfois;Parfois;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Non;;;;
05/10/2013 11:35:10;2013;31; ASSU, Ambulance de catégorie C;Zone rurale et urbaine;5;1;Oui;Oui;bleue et jaune;Oui;Parfois;Oui;;Oui;Toutes les semaines ;Oui;Non;Non;;;Non;Non;Non;Oui;Non;Non;Matelas immobilisateur à dépression : matelas coquille;Toujours;Toujours;Oui;Vous rassemblez l'ensemble du matériel nécessaire ;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Non;;;;
05/10/2013 11:38:20;2010;16;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;30;3;Oui;Oui;bleu;Non;Toujours;Non;;Non;Toutes les semaines , tous les mois ;Oui;Oui;Oui;Sur demande d'un médecin, d'un infirmier ou du SMUR, De façon spontanée dans certaines situations ;;Non;Non;Non;Non;Oui;Non;Matelas immobilisateur à dépression : matelas coquille;Toujours;Toujours;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Non;;;;
05/10/2013 12:47:34;2012;60;Ambulance de catégorie C;Zone rurale et urbaine;9;1;Oui;Oui;pantalon bleu polo blanc ;Oui;Toujours;Oui;Désinfection complète 1 fois par semaine, desinfection brancard et changement de drap a usage unique après chaque patient désinfection simple tout les soir de l ambu;Oui;Tous les jours;Non;Oui;Non;;;Non;Non;Oui;Oui;Oui;Non;Matelas immobilisateur à dépression : matelas coquille;Toujours;;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Oui;stage smur;;;
05/10/2013 12:22:47;2007;59;VSL,  ASSU;Zone rurale et urbaine;10;3;Oui;Oui;bleue;Oui;Toujours;Oui;;Non;Toutes les semaines ;Oui;Non;Oui;De façon spontanée régulièrement ;;Non;Non;Oui;Oui;Non;Non;Matelas immobilisateur à dépression : matelas coquille;Toujours;Toujours;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Non;;;;
05/10/2013 12:52:31;2012;67;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;20;20;Oui;Oui;Blanches;Oui;Parfois;Oui;;Non;Tous les jours;Oui;Non;Oui;De façon spontanée régulièrement ;Confusion, Tachycardie;Non;;Non;Non;Non;Non;Matelas immobilisateur à dépression : matelas coquille;Parfois;Parfois;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Non;;;;
05/10/2013 13:00:49;2010;16;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;11;4;Oui;Oui;bleu et blanche;Non;Jamais;Non;;Non;tous les mois ;Oui;Oui;Oui;De façon spontanée dans certaines situations ;;Non;Non;Non;Oui;Oui;Non;Matelas immobilisateur à dépression : matelas coquille;Parfois;Parfois;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Oui;Votre IFA;;;
05/10/2013 13:08:15;2003;VAR; ASSU, Ambulance de catégorie C;Zone rurale et urbaine;4;1;Oui;Oui;blanc;Oui;Parfois;Non;;Non;Toutes les semaines ;Oui;Non;Oui;De façon spontanée dans certaines situations ;;Non;Non;Non;Oui;Oui;Oui;Matelas immobilisateur à dépression : matelas coquille;Parfois;Parfois;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Non;;;;
05/10/2013 13:22:45;2012;25; ASSU;Zone urbaine;22;16;Oui;Oui;bleu / blanc;Oui;Toujours;Non;;Non;Tous les jours;Oui;Non;Oui;Sur demande d'un médecin, d'un infirmier ou du SMUR, De façon spontanée dans certaines situations ;;Non;;Non;Non;Non;Non;Matelas immobilisateur à dépression : matelas coquille;Toujours;Toujours;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Uniquement lors d'une entrée en service d'urgence;Parfois;;;;;;Oui;SMUR;;;
05/10/2013 13:24:13;2013;alsace;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;25;20;Oui;Oui;bleu et rouge;Oui;Toujours;Oui;"precaution standard 
precaution complementaire
desinfection de fin de journee et nettoyage approfondi de tout les vehicule 2x/mois";Oui;Tous les jours;Non;Oui;Non;;;Non;;Non;Oui;Non;Non;Matelas immobilisateur à dépression : matelas coquille, Planche à immobilisation type : Baxtrap ;Parfois;Toujours;Oui;Vous préparez la perfusion avec sa tubulure et purgez le dispositif ;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Non;;Parfois;;;;;;Non;;;;
05/10/2013 13:35:45;2012;85;VSL,  ASSU, Ambulance de catégorie C;Zone rurale;6;4;Oui;Oui;Bleu/blanc;Oui;Toujours;Oui;;Non;Toutes les semaines ;Oui;Oui;Oui;Sur demande d'un médecin, d'un infirmier ou du SMUR;;Non;Non;Non;Non;Non;Non;Matelas immobilisateur à dépression : matelas coquille;Parfois;Parfois;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Oui;Votre IFA;;;
05/10/2013 13:51:58;2006;69;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;25;25;Oui;Oui;bleu maine;Oui;Toujours;Oui;;Non;Tous les jours;Oui;Non;Oui;De façon spontanée dans certaines situations ;;Non;Non;Non;Oui;Non;Non;Matelas immobilisateur à dépression : matelas coquille;Parfois;Parfois;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Non;;;;
05/10/2013 13:54:46;2008;16;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;25;5;Oui;Oui;Blanc et bleu;Oui;Toujours;Oui;;Oui;Toutes les semaines ;Oui;Oui;Non;Sur demande d'un médecin, d'un infirmier ou du SMUR;;Non;Non;Non;Oui;Oui;Oui;Matelas immobilisateur à dépression : matelas coquille;Parfois;Parfois;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;;Parfois;;;;;;Oui;Votre IFA;;;
05/10/2013 14:10:04;2013;69;VSL,  ASSU, Ambulance de catégorie C;Zone urbaine;5;6;Oui;Oui;blanches;Non;Parfois;Oui;;Non;Tous les jours, Toutes les semaines ;Non;Non;Non;;;Non;Non;Non;Non;Non;Non;Matelas immobilisateur à dépression : matelas coquille;Parfois;Parfois;Non;;Vous appelez le Centre 15 pour demander l'autorisation d'ouvrir le courrier  ;Oui;Les deux ;Parfois;;;;;;Oui;Votre IFA;;;
05/10/2013 14:25:55;1989;Yvelines;VSL,  ASSU, Ambulance de catégorie C;Zone rurale;10;7;Oui;Oui;Jaune et bleu;Oui;Parfois;Oui;;Oui;Toutes les semaines ;Oui;Non;Oui;De façon spontanée dans certaines situations ;Malaise, diabétique connu,...;Non;;Oui;Oui;Oui;Oui;Matelas immobilisateur à dépression : matelas coquille, Planche à immobilisation type : Baxtrap ;Toujours;Toujours;Oui;Vous préparez la perfusion avec sa tubulure et purgez le dispositif ;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;En situation d'entrée programmée;Jamais;;;;;;Oui;Formation externe;;;
05/10/2013 14:32:00;2013;21;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;5;7;Oui;Oui;bleues;Oui;Parfois;Non;pas toujours les produits convenant à la réalisation de l'entretien.;Non;tous les mois ;Non;Non;Non;;;Non;Non;Non;Oui;Oui;Non;Matelas immobilisateur à dépression : matelas coquille, Planche à immobilisation type : Baxtrap ;Parfois;Parfois;Non;;Vous appelez le Centre 15 pour demander l'autorisation d'ouvrir le courrier  ;Oui;Les deux ;Parfois;;;;;;Oui;Votre IFA;;;
05/10/2013 14:47:21;2012;aude; ASSU, Ambulance de catégorie C;Zone rurale et urbaine;4;3;Oui;Oui;bleues;Oui;Parfois;Oui;;Non;Toutes les semaines ;Non;Oui;Non;;;Oui;Non;Oui;Oui;Oui;Non;Matelas immobilisateur à dépression : matelas coquille;Toujours;Toujours;Non;;Vous appelez le Centre 15 pour demander l'autorisation d'ouvrir le courrier  ;Oui;Les deux ;Parfois;;;;;;Oui;Votre IFA;;;
05/10/2013 16:11:12;2013;67;VSL,  ASSU, Ambulance de catégorie C;Zone rurale;6;10;Oui;Oui;Bleu marine;Non;;;;Oui;Toutes les semaines ;Oui;Oui;Oui;Sur demande d'un médecin, d'un infirmier ou du SMUR, De façon spontanée dans certaines situations ;Malaise , altération de l état général, chute ........;Non;;Non;Non;Non;Non;Matelas immobilisateur à dépression : matelas coquille, Planche à immobilisation type : Baxtrap ;Parfois;Toujours;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Non;;;;
05/10/2013 16:30:57;2013;38;VSL,  ASSU, Ambulance de catégorie C;Zone urbaine;2;1;Oui;Oui;Blanc / bleu;Oui;Toujours;Oui;;Oui;Toutes les semaines ;Oui;Oui;Non;;;Non;Non;Non;Non;Non;Non;Matelas immobilisateur à dépression : matelas coquille;Parfois;Parfois;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Non;Votre entreprise ;;;
05/10/2013 16:46:32;2013;21;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;18;8;Oui;Oui;bleu marine;Oui;Parfois;Non;La politique de l'entreprise la lors de la journée notament a propos du changement de drap ou désinfection entre chaque patient n'est pas respecté mis en cause le temps accorder en gros plus sa va vite plus on fait de patient et plus sa rapporte a l'entreprise;Non;Toutes les semaines ;Oui;Non;Oui;De façon spontanée dans certaines situations ;malaise ou diabétiques;Non;Non;Non;Oui;Oui;Oui;Matelas immobilisateur à dépression : matelas coquille;Parfois;Parfois;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Non;;;;
05/10/2013 17:45:42;2010;37;VSL, Ambulance de catégorie C;Zone rurale;5;8;Non;;Nous n'avons pas de tenues professionnelles  :(;Non;;;;Non;tous les mois ;Non;Non;Non;;;Non;;Non;Oui;Oui;Non;Matelas immobilisateur à dépression : matelas coquille;Toujours;;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Non;;;;
05/10/2013 17:49:23;1990;33;VSL, Ambulance de catégorie C;Zone rurale et urbaine;17;13;Oui;;bleu/blanc;Oui;Toujours;Non;manque de temps, locaux nonadapté;Oui;Toutes les semaines ;Oui;Non;Non;;;Non;;Non;Non;Non;Non;Matelas immobilisateur à dépression : matelas coquille;Toujours;Toujours;Non;;Vous n'ouvrez pas le courrier;Oui;Les deux ;Parfois;;;;;;Non;;;;
05/10/2013 18:07:59;2013;91;VSL, Ambulance de catégorie C;Zone rurale et urbaine;5;10;Non;Non;bbbb;Non;;;;Non;tous les mois ;Non;Non;Non;;;Non;;Non;Oui;Oui;Non;Matelas immobilisateur à dépression : matelas coquille;Parfois;;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Non;;;;
05/10/2013 18:30:38;2012;Yvelines ;VSL,  ASSU, Ambulance de catégorie C;Zone urbaine;35;14;Oui;Oui;Bleu;Oui;Parfois;Oui;;Non;Toutes les semaines ;Oui;Non;Oui;De façon spontanée dans certaines situations ;Hypoglycémie, AIT, malaise, troubles neuro;Non;;Non;Oui;Non;Non;Matelas immobilisateur à dépression : matelas coquille, Planche à immobilisation type : Baxtrap ;Parfois;Parfois;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Non;;;;
05/10/2013 19:00:45;2007;33;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;7;2;Oui;Oui;bleu et blanc;Oui;Toujours;Oui;;Non;Toutes les semaines ;Oui;Oui;Oui;De façon spontanée régulièrement ;si les symptomes me font penser que c'est utile au bilan;Oui;Oui de manière autonome;Non;Oui;Non;Non;Matelas immobilisateur à dépression : matelas coquille;Parfois;Parfois;Oui;Vous préparez la perfusion avec sa tubulure et purgez le dispositif ;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Oui;cesu 33 fae smur;;;
05/10/2013 19:25:17;2013;21;VSL,  ASSU;Zone rurale et urbaine;25;25;Oui;Oui;Blanche;Oui;Toujours;Oui;Chaque ambulance dispose d'un carnet entretien où sont notées les désinfections quotidiennes et mensuelles.;Non;Tous les jours;Oui;Non;Oui;De façon spontanée dans certaines situations ;Malaise, détresse neurologique, patient diabétique.;Non;Non;Non;Non;Non;Non;Matelas immobilisateur à dépression : matelas coquille, Planche à immobilisation type : Baxtrap ;Parfois;Parfois;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Oui;amie IDE;;;
05/10/2013 19:31:18;2012;38;VSL,  ASSU, Ambulance de catégorie C;Zone rurale;4;5;Oui;Oui;bleu et blanc;Non;;;Par contre, j'ai mes protocoles à moi, qui sont en adéquation avec l'IFA. Et je pratique tout le temps.;Oui;Tous les jours;Oui;Oui;Oui;Sur demande d'un médecin, d'un infirmier ou du SMUR, De façon spontanée dans certaines situations ;malaise;Non;;Oui;Non;Non;Non;Matelas immobilisateur à dépression : matelas coquille;Parfois;Toujours;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Oui;Votre IFA;;;
05/10/2013 20:36:44;2011;66; ASSU, Ambulance de catégorie C;Zone rurale et urbaine;5;2;Oui;Oui;bleu blanc;Oui;Parfois;Non;pas toujours;Non;Toutes les semaines ;Non;Oui;Non;;;Non;Non;Oui;Oui;Oui;Non;Matelas immobilisateur à dépression : matelas coquille;Parfois;Toujours;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Non;;;;
05/10/2013 19:58:54;2010;75; ASSU, Ambulance de catégorie C;Zone urbaine;40;40;Non;Oui;blanche;Oui;Toujours;Oui;"Ambulancier SMUR sous contrat
Tenue de l'entreprise identifié au SAMU du département d'appartenance du SMUR et pas de nom de la société 
Le protocole appliqué est celui de l'hôpital d'appartenance du SMUR";Oui;Tous les jours;Oui;Oui;Oui;Sur demande d'un médecin, d'un infirmier ou du SMUR;;Oui;Oui sous contrôle d'un médecin ou d'un infirmier;Oui;Oui;Non;Non;Matelas immobilisateur à dépression : matelas coquille, Planche à immobilisation type : Baxtrap ;;;Oui;Vous préparez la perfusion avec sa tubulure et purgez le dispositif ;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Oui;SMUR;;;
05/10/2013 21:21:15;2012;56; ASSU;Zone rurale et urbaine;4;1;Oui;Oui;Bleu nuit;Oui;Toujours;Non;Concernant les tenues nous rentrons avec  chez nous en fin de service...;Oui;Tous les jours;Oui;Oui;Oui;Sur demande d'un médecin, d'un infirmier ou du SMUR, De façon spontanée dans certaines situations ;surtout chez les patient diabetique;Non;;Oui;Oui;Oui;Non;Matelas immobilisateur à dépression : matelas coquille, Planche à immobilisation type : Baxtrap ;Toujours;Toujours;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Non;;;;
05/10/2013 21:21:16;2003;57;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;5;5;Oui;Oui;blanche/bleu;Oui;Toujours;;ce sont des protocoles que j'ai crée moi même lors de mon passage a l'armée en me référant sur des travaux du CLIN Sud-Ouest a l'époque de la création de ce document. Il avait été mis en place dans ma dernière infirmerie et j'ai relayé ce document dans mon entreprise actuelle :);Oui;Tous les jours;Oui;Non;Oui;De façon spontanée régulièrement ;Centre 15 sur Malaise, detresse neuro, agitation, inconscience;Non;Non;Non;Oui;Oui;Oui;Matelas immobilisateur à dépression : matelas coquille;Parfois;Parfois;Oui;Vous préparez la perfusion avec sa tubulure et purgez le dispositif ;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Oui;mon passage a l'armée de terre et mon expérience actuelle en smur;;;
